OrgId,econId,OrgName_x,FisYear,Id_A4,OrgName_y,BusTRBCId,Emission Reduction Processes/Policy Emissions Reduction,Emission Reduction Objectives/Targets Emissions Reduction,derivedEmissions,CO2 Equivalents Emission Total,CO2 Equivalents Emission Direct,CO2 Equivalents Emission Indirect,emissionIntensity,Energy Use Total,ESG SCORE,ESG Combined Score,ESG Controversies Score,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score,totalRevenue,totalAssets,employees,grossProfit,operatingIncome,earningsBeforeTax,propertyPlantEquipmentTotal,totalDebt,totalLiabilities,commonStock,netIncome,ebitda,enterpriseValue,totalAssets/commonEquity,ebit/interest,grossMargin,cf/sales,operatingMargin,roa,cogs/sales,sales/employee,totalAssets/employee,capex/totalAssets,capex/totalSales,capex,ISOCountryCodeDerived,Region,GDP PPP,econIdDesc_Basic Materials,econIdDesc_Consumer Cyclicals,econIdDesc_Consumer Non-Cyclicals,econIdDesc_Energy,econIdDesc_Financials,econIdDesc_Healthcare,econIdDesc_Industrials,econIdDesc_Real Estate,econIdDesc_Technology,econIdDesc_Utilities,IncomeGroup_High income,IncomeGroup_Upper middle income
13335.0,53.0,Marks and Spencer Group Plc,2018,@MARKS1,Marks and Spencer Group Plc,5340.0,1.0,1.0,430000.0,430000.0,182000.0,248000.0,30.1447865011631,3337200.0,0.910953066467628,0.910953066467628,1.0,0.995726495726496,0.9875,0.865384615384615,0.943243243243243,0.957264957264957,0.97027027027027,0.962732919254658,0.761111111111111,0.985555555555556,0.969879518072289,14264.489814297,10067.0908186335,80787.0,4622.33897657769,828.146288502728,89.0680600096317,13492.4777372674,2394.97079924102,6128.09586533334,541.608472693299,34.2672027282565,1681.22630039138,5955.27137919,2.55359,1.70021,32.40452,7.85553,5.80565,0.84909,61.61504,132424.77131,93458.10588,3.31504,2.56959,366.539067315086,GBR,Europe & Central Asia,47145.8840978145,0,1,0,0,0,0,0,0,0,0,1,0
16873.0,50.0,SBM Offshore N.V.,2018,@IHCCA1,SBM Offshore N.V.,5010.0,1.0,1.0,5301036.0,5301036.0,5297156.0,3880.0,2430.92252324771,62085490.0,0.662428815298768,0.406214407649384,0.15,0.31651376146789,0.7625,0.838709677419355,0.837931034482759,0.814102564102564,0.803448275862069,0.611538461538462,0.553333333333333,0.513333333333333,0.595238095238095,2180.66842908584,9994.27300943031,4079.0,771.022051712494,592.869229157713,373.828873557573,3536.80437963826,4537.03186256764,6355.44542653324,59.0134214928331,206.38469060991,823.591737056528,6810.765617125,3.7836,2.66957,35.35714,66.5625,27.1875,3.97582,54.0625,466072.66487,2130510.41922,0.38926,1.875,40.8875330453595,NLD,Europe & Central Asia,57901.0970130476,0,0,0,1,0,0,0,0,0,0,1,0
10062.0,59.0,VERBUND AG,2018,@OESTE3,VERBUND AG,5910.0,1.0,1.0,1481000.0,1481000.0,1070000.0,411000.0,453.361375318082,27855734.0,0.674087808408532,0.674087808408532,1.0,0.758928571428571,0.951977401129944,0.978260869565217,0.889784946236559,0.0,0.271505376344086,0.733128834355828,0.616666666666667,0.0166666666666667,0.583333333333333,3266.70969480123,13425.9869744687,2784.0,1221.24334516079,577.213845240582,691.665333794722,20478.8754249705,2553.74249794976,6568.20826498063,398.503476157559,496.87561969369,952.685707143854,15691.19614664,2.20625,7.56867,37.38451,25.05278,17.66958,4.37402,51.12161,1022960.8477,4204309.62644,2.61935,10.37798,339.018617169905,AUT,Europe & Central Asia,57050.351354909,0,0,0,0,0,0,0,0,0,1,1,0
116204561.0,59.0,E.ON SE,2018,@EONAG3,E ON SE,5910.0,1.0,1.0,7470000.0,7470000.0,4580000.0,2890000.0,220.272570593607,266000000.0,0.747953820175243,0.707310243420955,0.666666666666667,0.539473684210526,0.486842105263158,0.708333333333333,0.8375,0.948275862068966,0.9625,0.541666666666667,0.973837209302326,0.944767441860465,0.654362416107383,33912.5292807419,62312.3369067148,43302.0,6460.18484387412,1674.69280398725,3766.91175910558,53433.0238959851,11339.734972752,51171.0415607366,2524.65675450407,3696.94171729515,3553.56048407706,25660.998158491,9.22699,6.53794,19.04955,14.35481,4.93827,7.04007,75.41011,682762.92088,1226941.01889,4.14222,7.71182,2615.2736938979,DEU,Europe & Central Asia,54954.8467481602,0,0,0,0,0,0,0,0,0,1,1,0
14478.0,52.0,Schindler Holding AG,2018,@SCHIN3,Schindler Holding AG,5210.0,1.0,1.0,187180.0,187180.0,144512.0,42668.0,16.8890418354812,2472566.4,0.498475472407202,0.498475472407202,1.0,0.595709570957096,0.804498269896194,0.529197080291971,0.822972972972973,0.338709677419355,0.231081081081081,0.727536231884058,0.221804511278195,0.575187969924812,0.702127659574468,11082.9259482775,10162.9992885391,64486.0,2550.93727130131,1306.03098315027,1275.46863565065,2227.99513272203,631.621848325406,6062.55099900724,11.2061940831926,960.676456404609,1483.29259864805,19138.6112841,2.66319,114.81818,23.01682,11.25103,11.78417,10.54279,75.38377,168703.28443,150327.2028,2.92957,2.25205,249.5925045802,CHE,Europe & Central Asia,68709.4441829586,0,0,0,0,0,0,1,0,0,0,1,0
13022.0,57.0,Halma plc,2018,@HALMA1,Halma plc,5710.0,1.0,1.0,18814.0,18814.0,4771.0,14043.0,13.1110713989366,160011.051,0.54262493633011,0.54262493633011,1.0,0.261194029850746,0.647540983606557,0.325,0.79375,0.650793650793651,0.75625,0.0961538461538462,0.745555555555556,0.334444444444444,0.26144578313253,1434.97044806924,1929.17151247448,6341.0,710.447113933413,253.027958262092,229.268919919104,323.89040013742,388.079404282984,774.506782722377,50.6207918902046,185.710905182657,336.113258013293,4695.60042218,1.70194,22.65605,49.50953,17.56579,17.63297,11.65891,44.70044,169722.59896,222343.32124,1.50076,1.87714,26.9364213819548,GBR,Europe & Central Asia,47145.8840978145,0,0,0,0,0,0,0,0,1,0,1,0
119142974.0,54.0,Davide Campari Milano NV,2018,@CAMPA3,Davide Campari Milano NV,5410.0,1.0,1.0,101173.0,101173.0,78659.0,22514.0,51.5293517384121,2276813.0,0.480457492509752,0.480457492509752,1.0,0.515873015873016,0.4765625,0.0,0.719178082191781,0.529411764705882,0.801369863013699,0.556451612903226,0.280952380952381,0.0523809523809524,0.54639175257732,1963.40525519519,5256.35600977506,3625.0,1158.17624944241,426.702550057026,402.385092903239,963.751297198693,1494.95009002506,2731.46984529784,66.6435971997668,339.870875220153,488.413832834091,9128.17424017,2.10103,11.44048,58.98814,19.41345,21.73278,7.27974,37.86879,472193.10345,1253544.82759,1.89214,4.8373,94.9757288836607,ITA,Europe & Central Asia,43111.3665516129,0,0,1,0,0,0,0,0,0,0,1,0
12434.0,50.0,BP PLC,2018,@BPORD1,BP PLC,5010.0,1.0,1.0,54200000.0,54200000.0,48800000.0,5400000.0,189.174415203748,755000000.0,0.901034945789585,0.561628584005904,0.222222222222222,0.7725,0.979638009049774,0.810344827586207,0.927450980392157,0.955284552845528,0.849019607843137,0.915865384615385,0.974444444444444,0.805555555555556,0.969879518072289,286508.088007696,282273.17902264,73000.0,28468.0227091957,16277.1685849142,12438.2770604099,306453.503654555,65821.6606178793,176982.930437186,5382.85317078995,8881.33260265661,31100.4876691668,132130.1694405,2.80086,6.71019,9.9362,9.25036,5.68122,3.6414,84.89001,3075959.03562,2990691.50685,6.23751,5.59219,16022.0736197585,GBR,Europe & Central Asia,47145.8840978145,0,0,0,1,0,0,0,0,0,0,1,0
72418.0,56.0,Sonova Holding AG,2018,@PHONA2,Sonova Holding AG,5610.0,1.0,1.0,38701.0,38701.0,16494.0,22207.0,14.3139094968893,352404.0,0.802427035937514,0.802427035937514,1.0,0.84020618556701,0.816666666666667,0.5,0.924757281553398,0.848484848484849,0.963592233009709,0.787564766839378,0.958646616541353,0.0488721804511278,0.771276595744681,2703.73373594477,4395.96687507217,14242.0,1807.8633956395,488.011020115942,489.403798705401,862.679701006503,775.998393459458,1749.83674488307,3.33837685382416,408.877080625936,625.718298950318,10146.548827,1.70791,375.75743,66.86544,21.32909,18.04952,10.0393,28.04134,185783.31695,294012.98975,2.53029,3.63937,98.3988365898372,CHE,Europe & Central Asia,68709.4441829586,0,0,0,0,0,1,0,0,0,0,1,0
13828.0,56.0,Smith & Nephew PLC,2018,@SMITH33,Smith & Nephew plc,5610.0,1.0,1.0,77842.0,77842.0,9956.0,67886.0,16.5517254505722,752400.0,0.820037385006483,0.820037385006483,0.826086956521739,0.768041237113402,0.683333333333333,0.0,0.91504854368932,0.848484848484849,0.968446601941748,0.932642487046632,0.876666666666667,0.965555555555556,0.608433734939759,4702.95379369701,8061.77545129089,16377.0,3300.89048896923,994.48676265575,748.981833784128,2883.99288076332,1465.50453358247,3060.05349367152,177.060957299725,635.819405632365,1403.98131198458,13629.51328,1.62762,16.93878,70.1876,22.8385,21.146,8.8659,21.10522,225062.36796,379768.70001,4.55407,7.07586,332.774259056456,GBR,Europe & Central Asia,47145.8840978145,0,0,0,0,0,1,0,0,0,0,1,0
