OrgId,econId,OrgName_x,FisYear,Id_A4,OrgName_y,BusTRBCId,Emission Reduction Processes/Policy Emissions Reduction,Emission Reduction Objectives/Targets Emissions Reduction,derivedEmissions,CO2 Equivalents Emission Total,CO2 Equivalents Emission Direct,CO2 Equivalents Emission Indirect,emissionIntensity,"CO2e Indirect Emissions, Scope 3",Energy Use Total,Direct Energy/Energy Purchased Direct,ESG SCORE,ESG Combined Score,ESG Controversies Score,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score,totalRevenue,totalAssets,employees,grossProfit,researchAndDevelopment,operatingIncome,earningsBeforeTax,shortTermInvestments,propertyPlantEquipmentTotal,totalDebt,totalLiabilities,commonStock,netIncome,ebitda,enterpriseValue,totalAssets/commonEquity,ebit/interest,grossMargin,cf/sales,operatingMargin,roa,cogs/sales,rnd/sales,sales/employee,totalAssets/employee,capex/fixedAssets,capex/totalAssets,capex/totalSales,sga/sales,capex,ISOCountryCodeDerived,Region,GDP PPP,econIdDesc_Basic Materials,econIdDesc_Consumer Cyclicals,econIdDesc_Consumer Non-Cyclicals,econIdDesc_Energy,econIdDesc_Financials,econIdDesc_Healthcare,econIdDesc_Industrials,econIdDesc_Technology,econIdDesc_Utilities,IncomeGroup_High income,IncomeGroup_Upper middle income
61151.0,54.0,Jeronimo Martins SGPS SA,2019,@JERON4,Jeronimo Martins SGPS SA,5430.0,1.0,1.0,1060540.0,1060540.0,212304.0,848236.0,50.7504256632017,24212175.0,6946138.8,6938460.0,0.782317683490088,0.782317683490088,0.869565217391304,0.994252873563218,0.917582417582418,0.788461538461538,0.881578947368421,0.941176470588235,0.723684210526316,0.916666666666667,0.433333333333333,0.666666666666667,0.821428571428571,20897.1646275073,10933.7937696418,115428.0,4569.45789977386,465.81380800217073,812.87643014894,615.79196616991,430.33434194206,10922.0951731169,3494.46742940977,8279.87173386991,705.563053764682,437.117599463241,1614.94898104596,11657.3398363,4.8678,4.45152,21.8664,6.13936,3.88989,6.3343,74.29541,1.6492124829931973,161470.52708,83287.77246,8.79119,8.7933,3.0879,17.97651,645.282878992987,PRT,Europe & Central Asia,36760.1228095402,0,0,1,0,0,0,0,0,0,1,0
61151.0,54.0,Jeronimo Martins SGPS SA,2020,@JERON4,Jeronimo Martins SGPS SA,5430.0,1.0,1.0,1061826.0,1061826.0,223315.0,838511.0,45.0556025531597,27511251.0,7074142.0,7046891.35,0.85730936707597,0.593128367748511,0.328947368421053,0.995535714285714,0.907079646017699,0.783333333333333,0.960431654676259,0.930232558139535,0.87410071942446,0.956349206349206,0.676470588235294,0.676470588235294,0.785714285714286,23567.0136415817,11516.1955130065,118210.0,5162.9241463053,465.81380800217073,843.719618613872,560.248471741193,351.529482749684,12045.7635600618,3416.25435634363,8559.41829123263,768.681629647123,381.266909153218,1740.04315047762,10685.7919204,4.6135,4.09284,21.90742,5.73902,3.58009,4.41221,74.29119,1.6492124829931973,163213.74672,78373.14948,5.27337,5.34341,2.66257,18.32733,627.487180872799,PRT,Europe & Central Asia,34177.085710564,0,0,1,0,0,0,0,0,0,1,0
61435.0,55.0,Banca Monte dei Paschi di Siena SpA,2015,@BCAMP2,Banca Monte dei Paschi di Siena SpA,5510.0,1.0,1.0,16388.0,16388.0,16285.0,103.0,2.06625621423091,46777.333333333336,781966.8,781966.8,0.57873186261067,0.57873186261067,1.0,0.778455284552846,0.600401606425703,0.890052356020942,0.862028301886792,0.700757575757576,0.774764150943396,0.528169014084507,0.197916666666667,0.416666666666667,0.217948717948718,7931.25261384868,183555.306203508,25731.0,5264.588118706485,39.475846170516796,-110.528303373655,415.512612787828,13963.418134769996,4240.63729013893,62407.1140212979,169506.052269284,9776.35012520191,421.491313105915,135.937508213246,55123.729392448,17.26666,1.37524,79.7650548873874,11.76152,-1.39358,0.82788,14.814751006006006,1.0546901041666665,283815.20345,6439647.5069,14.296508507407406,0.04793,1.9682267555555555,36.17066210498688,90.77741436644,ITA,Europe & Central Asia,36899.3852092463,0,0,0,0,1,0,0,0,0,1,0
61440.0,57.0,Koninklijke KPN N.V.,2015,@KONPT3,Koninklijke KPN N.V.,5740.0,1.0,1.0,328900.0,328900.0,39900.0,289000.0,43.2135871649543,974900.0,3481000.0,3481000.0,0.662394774510142,0.549947387255071,0.4375,0.915178571428571,0.763392857142857,0.680722891566265,0.817857142857143,0.0357142857142857,0.739285714285714,0.549618320610687,0.885416666666667,0.739583333333333,0.930232558139535,7611.03212155304,19328.4159057191,14856.0,1183.79352347214,78.26155896545254,939.432475048999,601.671203673,1165.3306887024,13192.2384675378,11717.383784166,13864.5028629774,185.714396801594,637.510824108396,2682.54128713413,23606.224007288,4.29694,2.03745,15.55365,31.22146,12.34304,6.14189,61.54395,0.43035,471728.59451,1126009.69305,7.37448,5.87245,14.44064,24.35467373188406,1099.08169335212,NLD,Europe & Central Asia,50288.5913949376,0,0,0,0,0,0,0,1,0,1,0
61440.0,57.0,Koninklijke KPN N.V.,2016,@KONPT3,Koninklijke KPN N.V.,5740.0,1.0,1.0,351000.0,351000.0,34000.0,314000.0,46.6173753336761,885500.0,2974000.0,2974000.0,0.636111742948231,0.636111742948231,1.0,0.916666666666667,0.728448275862069,0.648809523809524,0.80718954248366,0.0232558139534884,0.774509803921569,0.74113475177305,0.676470588235294,0.441176470588235,0.911111111111111,7529.38142672393,16302.2281375556,13530.0,1673.81047584973,78.26155896545254,1060.92812051546,459.108623580727,154.880017593498,12964.5637584157,10754.2046501885,12316.2802562029,189.174878632058,820.864093245542,2743.58888308483,20389.415929622,5.43193,1.91611,22.23038,29.94417,14.09051,7.17879,55.42169,0.43035,503030.30303,1008499.63045,7.54919,5.48183,13.47341,24.35467373188406,1014.46411523741,NLD,Europe & Central Asia,52288.4150841353,0,0,0,0,0,0,0,1,0,1,0
61440.0,57.0,Koninklijke KPN N.V.,2017,@KONPT3,Koninklijke KPN N.V.,5740.0,1.0,1.0,335000.0,335000.0,33000.0,300000.0,45.7040765363609,944700.0,2832000.0,2832000.0,0.667003185214492,0.667003185214492,1.0,0.897540983606557,0.676,0.65,0.833333333333333,0.43,0.572727272727273,0.745161290322581,0.688679245283019,0.254716981132075,0.902173913043478,7329.76192470452,15257.1813601926,13275.0,1729.82381423026,78.26155896545254,1158.10238410331,666.444507307749,370.998718958121,13245.4436257814,9793.68958708596,11630.6406909849,189.446154361593,487.147254072669,2725.54378030935,19695.196884848,5.54561,2.56349,23.6,31.06154,15.8,5.41089,55.01538,0.43035,489642.18456,947871.93974,7.09958,6.09747,12.8,24.35467373188406,938.209526362179,NLD,Europe & Central Asia,55088.6338006744,0,0,0,0,0,0,0,1,0,1,0
61440.0,57.0,Koninklijke KPN N.V.,2018,@KONPT3,Koninklijke KPN N.V.,5740.0,1.0,1.0,337000.0,337000.0,31000.0,306000.0,52.1009338818939,861400.0,2841000.0,2841000.0,0.719783839303016,0.719783839303016,0.894736842105263,0.958646616541353,0.542307692307692,0.639784946236559,0.820588235294118,0.360869565217391,0.685294117647059,0.72360248447205,0.953333333333333,0.54,0.952380952380952,6468.21419293433,13967.6262151731,12431.0,1576.04651553321,78.26155896545254,1059.87407594809,535.672287302772,572.377883006603,13283.9844951893,8716.43192979394,10958.9144173248,192.704377445108,256.939169926811,2642.80289067577,17222.592512,5.91208,2.3118,24.36602,35.02394,16.38588,3.30254,51.16155,0.43035,453624.0045,925026.14432,6.95556,6.34859,14.48838,24.35467373188406,937.139740313416,NLD,Europe & Central Asia,57901.0970130476,0,0,0,0,0,0,0,1,0,1,0
61440.0,57.0,Koninklijke KPN N.V.,2019,@KONPT3,Koninklijke KPN N.V.,5740.0,1.0,1.0,321000.0,321000.0,26300.0,294700.0,52.177965565883,857600.0,2728000.0,2728000.0,0.688732547661329,0.688732547661329,0.892857142857143,0.955172413793103,0.51056338028169,0.63,0.720338983050847,0.352713178294574,0.669491525423729,0.693452380952381,0.980263157894737,0.322368421052632,0.954545454545455,6152.02215185424,13795.2397587779,11248.0,1445.22627186807,78.26155896545254,1077.47280625695,742.234128763897,332.996278312504,14395.0815395765,9066.01988698622,10799.3944535556,188.361531166668,699.628544333341,2777.21138511808,18062.450999511,5.79254,3.22896,23.49189,36.74139,17.51412,7.50681,48.87917,0.43035,487820.0569,1035117.3542,6.58389,6.97863,15.65518,24.35467373188406,963.110448048622,NLD,Europe & Central Asia,59469.0836923272,0,0,0,0,0,0,0,1,0,1,0
61440.0,57.0,Koninklijke KPN N.V.,2020,@KONPT3,Koninklijke KPN N.V.,5740.0,1.0,1.0,290400.0,290400.0,16800.0,273600.0,45.0692723852132,821700.0,2428000.0,2428000.0,0.641705937772443,0.641705937772443,0.709090909090909,0.897515527950311,0.576433121019108,0.616822429906542,0.828947368421053,0.318181818181818,0.394736842105263,0.674033149171271,0.801136363636364,0.471590909090909,0.797297297297297,6443.41442919049,14755.7244179376,10102.0,1521.98945569125,78.26155896545254,1156.76084633998,780.538733697199,343.241602768252,15951.5732759808,9690.16240128307,11466.2239330447,205.212061441517,673.046701513547,3018.32740370231,17494.523375364,5.41788,3.67364,23.62085,39.33649,17.95261,6.539,47.48815,0.43035,522173.82696,1139675.31182,7.18124,7.91892,17.47867,24.35467373188406,1126.22333719689,NLD,Europe & Central Asia,59266.9085805339,0,0,0,0,0,0,0,1,0,1,0
61798.0,55.0,Swedbank AB,2015,@FOREN5,Swedbank AB,5510.0,1.0,1.0,20184.0,20184.0,989.0,19195.0,3.11447573471661,15260.0,715252.0,715252.0,0.776369479082606,0.703402130845651,0.630434782608696,0.798780487804878,0.71285140562249,0.890052356020942,0.850235849056604,0.829545454545455,0.793632075471698,0.26056338028169,0.8359375,0.8984375,0.589285714285714,6480.70549242424,254362.571022727,13893.0,5264.588118706485,39.475846170516796,2343.15814393939,2411.33996212121,13963.418134769996,566.879734848484,118896.661931818,239739.701704545,2947.91666666666,1861.6240530303,2422.34848484848,1025127.041625,17.44569,2.32193,79.7650548873874,33.54582,36.15591,1.29474,14.814751006006006,1.0546901041666665,3940761.53459,154657957.24466,14.296508507407406,0.19216,1.9682267555555555,36.17066210498688,482.362689393939,SWE,Europe & Central Asia,49103.1334338706,0,0,0,0,1,0,0,0,0,1,0
61798.0,55.0,Swedbank AB,2016,@FOREN5,Swedbank AB,5510.0,1.0,1.0,24203.0,24203.0,881.0,23322.0,3.97523916598091,19893.0,656975.0,656975.0,0.800487396274248,0.800487396274248,1.0,0.773408239700375,0.683520599250936,0.875609756097561,0.897868561278863,0.766447368421053,0.83392539964476,0.310865191146881,0.873134328358209,0.962686567164179,0.608333333333333,6088.43870505279,251644.914116286,14061.0,5264.588118706485,39.475846170516796,2490.97979559757,2775.65986321487,13963.418134769996,581.625792641171,111167.741628232,236474.632220053,2909.18030526927,2282.46361968585,2568.54547672104,1075187.219946,16.63161,2.69843,79.7650548873874,33.99463,40.91328,1.44332,14.814751006006006,1.0546901041666665,3706706.49314,153192731.66916,14.296508507407406,0.02099,1.9682267555555555,36.17066210498688,52.6839189558482,SWE,Europe & Central Asia,50430.2528196052,0,0,0,0,1,0,0,0,0,1,0
61798.0,55.0,Swedbank AB,2017,@FOREN5,Swedbank AB,5510.0,1.0,1.0,24175.0,24175.0,780.0,23395.0,3.78152848265167,20791.0,648133.0,648133.0,0.812305919145515,0.812305919145515,0.891891891891892,0.786912751677852,0.734527687296417,0.858695652173913,0.8997113997114,0.735449735449735,0.836219336219336,0.320428336079077,0.908450704225352,0.936619718309859,0.75,6392.91760220937,258979.469263116,14588.0,5264.588118706485,39.475846170516796,2734.77214477786,2872.53490165368,13963.418134769996,595.060200472957,110780.686109843,243325.195755591,2914.90543520427,2264.83376851922,2821.15185129813,966690.3019959,16.58866,2.84693,79.7650548873874,35.9472,42.77815,1.36651,14.814751006006006,1.0546901041666665,3744104.74362,151663216.3422,14.296508507407406,0.0234,1.9682267555555555,36.17066210498688,58.9910190870122,SWE,Europe & Central Asia,51947.9542478243,0,0,0,0,1,0,0,0,0,1,0
61798.0,55.0,Swedbank AB,2018,@FOREN5,Swedbank AB,5510.0,1.0,1.0,22605.0,22605.0,1017.0,21588.0,3.39656189223589,19952.0,586882.8,586882.8,0.794174936186657,0.794174936186657,1.0,0.82033426183844,0.719512195121951,0.839015151515151,0.797730307076101,0.722868217054264,0.808411214953271,0.320740740740741,0.935114503816794,0.889312977099237,0.842105263157895,6655.25926427901,253683.913303741,14865.0,5264.588118706485,39.475846170516796,2824.85684274726,2998.90443759247,13963.418134769996,544.731700154734,101243.858638566,238123.199945786,2812.77177289104,2390.13316165757,2897.81904019697,954277.35488775,16.34639,2.93218,79.7650548873874,34.99024,42.44548,1.441,14.814751006006006,1.0546901041666665,3964009.4181,151088328.28792,14.296508507407406,0.69249,1.9682267555555555,36.17066210498688,1730.42388100159,SWE,Europe & Central Asia,53553.312449047,0,0,0,0,1,0,0,0,0,1,0
61798.0,55.0,Swedbank AB,2019,@FOREN5,Swedbank AB,5510.0,1.0,1.0,19821.0,19821.0,1020.0,18801.0,3.02862153318701,17927.0,521186.4,521186.4,0.771642848826921,0.397957346743557,0.0242718446601942,0.81554524361949,0.801518438177874,0.834905660377358,0.791819291819292,0.716346153846154,0.790598290598291,0.313071895424837,0.892265193370166,0.776243093922652,0.821428571428571,6544.56153824621,257193.151829758,15218.0,5264.588118706485,39.475846170516796,2541.2506821568,2607.99922917709,13963.418134769996,956.800372407765,103791.961460734,242369.314114465,2659.68930398961,2103.5938090541,2702.62196943307,932542.54704605,17.37315,2.95799,79.7650548873874,33.32245,38.82996,1.27903,14.814751006006006,1.0546901041666665,4026810.35616,158237481.92929,14.296508507407406,0.00997,1.9682267555555555,36.17066210498688,23.9226792520749,SWE,Europe & Central Asia,55027.3673074023,0,0,0,0,1,0,0,0,0,1,0
61798.0,55.0,Swedbank AB,2020,@FOREN5,Swedbank AB,5510.0,1.0,1.0,17076.0,17076.0,632.0,16444.0,2.37923807153017,5683.0,429170.4,429170.4,0.704381848394035,0.546387352768446,0.388392857142857,0.838803088803089,0.814183123877917,0.793478260869565,0.767589388696655,0.699460916442049,0.745674740484429,0.294871794871795,0.680059523809524,0.662202380952381,0.993506493506494,7177.08757451825,315348.724150294,16439.0,5264.588118706485,39.475846170516796,2466.74404613598,2039.41491398117,13963.418134769996,1152.06281106242,113924.658325078,296471.739275752,3026.79314766312,1571.37040660682,2658.77477105197,804982.214613,16.7207,3.04509,79.7650548873874,29.24202,34.36971,0.76964,14.814751006006006,1.0546901041666665,3592189.30592,157826996.77596,14.296508507407406,0.01512,1.9682267555555555,36.17066210498688,44.2399897907715,SWE,Europe & Central Asia,55037.7239019554,0,0,0,0,1,0,0,0,0,1,0
61949.0,52.0,FirstGroup plc,2015,@FIRST19,FirstGroup plc,5240.0,1.0,1.0,2453259.0,2453259.0,2354832.0,98427.0,273.620380852248,8398.0,1736971.819,1736971.819,0.565590086063963,0.565590086063963,1.0,0.848214285714286,0.537735849056604,0.481481481481481,0.355072463768116,0.78125,0.992753623188406,0.533898305084746,0.10929648241206,0.988693467336683,0.717270194986072,8965.92202802586,7777.96366124708,114370.0,369.412524433015,348.77603548692997,369.412524433015,156.774348515896,22.9678865973194,6397.96412653201,2877.20938103323,5486.06493866166,89.2043079457181,111.431294975382,973.393851985751,2629.0378848065,3.55718,1.9105,4.12018,7.52475,4.12018,3.32867,89.1434,2.8905120000907276,52904.60785,45365.91764,10.9035,8.62631,7.08844,21.337190137011326,635.543649134858,GBR,Europe & Central Asia,42567.5917974837,0,0,0,0,0,0,1,0,0,1,0
61949.0,52.0,FirstGroup plc,2016,@FIRST19,FirstGroup plc,5240.0,1.0,0.0,2684022.0,2684022.0,2416781.0,267241.0,358.157452156604,15126.0,1373923.015,1373923.015,0.556788176426989,0.556788176426989,1.0,0.725,0.508333333333333,0.483870967741936,0.354166666666667,0.82051282051282,0.993055555555556,0.491803278688525,0.160353535353535,0.993686868686869,0.737704918032787,7493.97222880178,7665.3048761056,108624.0,357.744865409732,348.77603548692997,357.744865409732,163.00297962266,23.9836983233341,6234.46902942669,2700.67932317543,5229.73876912701,86.4562059320188,129.684308898028,900.034954445119,2693.112132609,3.27865,2.01885,4.77377,9.17575,4.77377,3.53461,87.98988,2.8905120000907276,48038.18677,48559.25026,9.38463,7.80958,7.76528,21.337190137011326,581.927818000897,GBR,Europe & Central Asia,44149.9999768117,0,0,0,0,0,0,1,0,0,1,0
63639.0,59.0,Oersted A/S,2016,@DONGE1,Oersted A/S,5910.0,1.0,1.0,5300000.0,5300000.0,2654200.0,107800.0,621.521759883609,28579000.0,116000.0,92116000.0,0.725791978581064,0.725791978581064,1.0,0.918439716312057,0.763698630136986,0.833333333333333,0.814024390243902,0.5375,0.560975609756098,0.202205882352941,0.810344827586207,0.224137931034483,0.896551724137931,8527.45686811112,20279.5473397734,5775.0,1554.29627824491,94.0848809135796,1074.38260089752,1735.86114317324,3747.48692571391,15641.3227992925,5561.50119405271,13691.5063324721,624.630680980941,1121.3339080312,2174.91529690747,126857.5250976,3.48798,9.59676,18.22696,24.1127,12.5991,6.14034,68.86728,0.35673720792079205,9938181.81818,23619220.77922,9.34457,10.17781,26.10074,5.38045,2225.72968627366,DNK,Europe & Central Asia,51976.0057060955,0,0,0,0,0,0,0,0,1,1,0
